,date,positive,neutral,negative,news_count,finbert_sentiment,avg_sentiment
0,2025-02-03,6,1,6,13,positive,0.7794152291921469
1,2025-02-04,17,23,26,66,negative,0.8178860346476237
2,2025-02-05,34,41,40,115,neutral,0.7979723818924116
3,2025-02-06,27,42,43,112,negative,0.8010589757135936
4,2025-02-07,29,29,33,91,negative,0.7975936378096486
5,2025-02-08,15,15,27,57,negative,0.8369602665566561
6,2025-02-09,19,27,11,57,neutral,0.8012940329417848
7,2025-02-10,23,33,37,93,negative,0.8057866259928672
8,2025-02-11,32,34,27,93,neutral,0.8216503192019718
9,2025-02-12,27,35,41,103,negative,0.8093967434850712
10,2025-02-13,34,33,31,98,positive,0.8157354635851723
11,2025-02-14,25,34,30,89,neutral,0.8118657442960846
12,2025-02-15,4,17,15,36,neutral,0.7901791623897023
13,2025-02-16,11,13,17,41,negative,0.8163657813537412
14,2025-02-17,26,46,33,105,neutral,0.8289677554652805
15,2025-02-18,16,30,42,88,negative,0.7906315435062755
16,2025-02-19,32,38,22,92,neutral,0.8144398869379706
17,2025-02-20,28,28,27,83,neutral,0.8049657983952258
18,2025-02-21,25,20,30,75,negative,0.8116314260164896
19,2025-02-22,11,18,24,53,negative,0.7590962766476397
20,2025-02-23,11,14,10,35,neutral,0.8117638187749046
21,2025-02-24,13,26,31,70,negative,0.8214887184756142
22,2025-02-25,8,29,43,80,negative,0.8121543943881988
23,2025-02-26,13,26,36,75,negative,0.8060185790061951
24,2025-02-27,18,27,30,75,negative,0.7842060315608979
25,2025-02-28,13,26,39,78,negative,0.8252814018573517
26,2025-03-01,11,19,20,50,negative,0.8492907106876373
27,2025-03-02,29,17,8,54,positive,0.8353646397590637
28,2025-03-03,26,33,44,103,negative,0.836649919597848
29,2025-03-04,21,30,57,108,negative,0.8099307608273294
30,2025-03-05,32,35,41,108,negative,0.7850116689999899
31,2025-03-06,32,38,40,110,negative,0.8271493527022276
32,2025-03-07,13,40,36,89,neutral,0.8118073384413559
33,2025-03-08,8,12,12,32,negative,0.81994435377419
34,2025-03-09,6,13,25,44,negative,0.8734975836493752
35,2025-03-10,18,30,48,96,negative,0.8364827030648788
36,2025-03-11,28,27,44,99,negative,0.8158697982629141
37,2025-03-12,29,24,41,94,negative,0.8328949688596928
38,2025-03-13,24,21,35,80,negative,0.7953522294759751
39,2025-03-14,22,19,32,73,negative,0.8289015611557111
40,2025-03-15,9,8,13,30,negative,0.7870387713114421
41,2025-03-16,10,12,22,44,negative,0.8373916230418466
42,2025-03-17,27,18,30,75,negative,0.8136107556025187
43,2025-03-18,10,19,23,52,negative,0.8222844933088009
44,2025-03-19,41,33,33,107,positive,0.7924627296835463
45,2025-03-20,20,42,28,90,neutral,0.8182135575347477
46,2025-03-21,12,33,25,70,neutral,0.805808732339314
47,2025-03-22,9,15,10,34,neutral,0.7977477960726794
48,2025-03-23,23,13,20,56,positive,0.8506674734609467
49,2025-03-24,36,54,48,138,neutral,0.8080512570298236
50,2025-03-25,50,50,38,138,neutral,0.8123279637184696
51,2025-03-26,42,62,54,158,neutral,0.8031088528753836
52,2025-03-27,44,52,50,146,neutral,0.8317409614994101
53,2025-03-28,30,62,60,152,neutral,0.7964835429662153
54,2025-03-29,20,18,36,74,negative,0.8418043916289871
55,2025-03-30,16,22,32,70,negative,0.8203780880996159
56,2025-03-31,40,52,72,164,negative,0.8197072402733129
57,2025-04-01,46,60,42,148,neutral,0.80975310061429
58,2025-04-02,52,78,82,212,negative,0.7969027094121249
59,2025-04-03,40,50,74,164,negative,0.8015669282616639
60,2025-04-04,44,46,78,168,negative,0.8234776368453389
61,2025-04-05,16,34,42,92,negative,0.8242189184479092
62,2025-04-06,16,28,68,112,negative,0.8539655160691056
63,2025-04-07,58,56,124,238,negative,0.8115353010782674
64,2025-04-08,50,60,80,190,negative,0.8146630651072452
65,2025-04-09,64,46,98,208,negative,0.811240370456989
66,2025-04-10,44,58,66,168,negative,0.7977334367377418
67,2025-04-11,50,62,68,180,negative,0.7925230973296695
68,2025-04-12,36,18,18,72,positive,0.8318933215406206
69,2025-04-13,14,30,28,72,neutral,0.7839523752530416
70,2025-04-14,44,46,70,160,negative,0.7836221151053906
71,2025-04-15,52,54,62,168,negative,0.8178289234638214
72,2025-04-16,48,81,98,227,negative,0.7892526477444014
73,2025-04-17,46,56,42,144,neutral,0.8040936175319884
74,2025-04-18,32,44,34,110,neutral,0.8206185416741805
75,2025-04-19,32,20,26,78,positive,0.8487482911501175
76,2025-04-20,22,24,42,88,negative,0.8391161533919248
77,2025-04-21,48,56,62,166,negative,0.8184106041149921
78,2025-04-22,54,40,56,150,negative,0.8028035124142965
79,2025-04-23,74,60,74,208,positive,0.8368022894630065
80,2025-04-24,24,50,72,146,negative,0.7806527749316333
81,2025-04-25,64,52,44,160,positive,0.8302615731954575
82,2025-04-26,35,40,22,97,neutral,0.8143282274609989
83,2025-04-27,12,15,20,47,negative,0.8446587653870278
84,2025-04-28,32,22,24,78,positive,0.820782231978881
85,2025-04-29,1,5,2,8,neutral,0.8410349115729332
